net_user,age,male,friend_cnt,avg_friend_age,avg_friend_male,friend_country_cnt,subscriber_friend_cnt,songsListened,lovedTracks,posts,playlists,shouts,tenure,good_country,delta1_friend_cnt,delta1_avg_friend_age,delta1_avg_friend_male,delta1_friend_country_cnt,delta1_subscriber_friend_cnt,delta1_songsListened,delta1_lovedTracks,delta1_posts,delta1_playlists,delta1_shouts,delta1_good_country,adopter
7lcouvne,31.606760383779918,,2.668198492559579,30.308639409130727,0.8109812252418473,0.24603274592884683,0.32166728466039324,10432,1,0,0,6.26545967023704,28.32661614111419,1.0,0.6533543201475979,,-0.03936892505387525,0.6268177547221743,0.4967589082995801,-2986.170296884538,-11.555681487884875,-0.25742475191045905,-0.726317049781111,23.32444746459351,0.0,0
y2505unx,30.633903224124573,1.0,31.547164665780727,18.30285792685936,0.5259039576473311,0.484624080717461,0.3178125995186312,12349,32,2,0,33.70763824223653,51.822264036234614,,1.5916390057938892,0.011359934311831799,-0.03422397197513727,0.647246380506763,0.045823103445564735,-4675.338051380232,24.975007380436804,5.354328116462458,-0.3773049231250823,-18.26216656247406,0.0,0
9zxcgaje,,1.0,3.274867025668403,26.66717533432864,0.2781403522999175,0.6660054002253383,0.2676347047949449,150,105,0,1,49.659827752708544,10.608954290489184,,-3.4328949753781064,0.5717712255324984,0.02269920775375561,0.44619168286174443,0.5974682036004796,-2063.237199242067,0.5385180482223881,-6.0,-0.9680275356157926,6.680746541210951,0.0,0
edqmkn8m,18.004361134046228,1.0,1.4351777523790088,17.06405216026237,0.5836530870237091,0.28890276640429796,0.2872880269430003,9707,76,0,0,1.847302342737565,72.15561103924183,0.0,10.902128446769021,,0.12421632344730667,-0.1715553266843838,-0.9950251859235236,930.9989218105139,8.982883635293236,15.136318501085075,-1.3718728615208664,-19.586217327329358,,0
lsrhfdza,14.269585689781787,,2.940274361654253,29.182169693825216,0.8905379681106234,5.129541377734592,0.8515587833815588,7997,4,3,1,3.5983980568804053,73.36674989385945,0.0,4.460694322782176,1.4013526237444436,0.02343252457689862,-0.24076892397830754,-0.4627150312760015,2697.80350464875,11.08457698831749,3.546727113798463,-0.2563242752286132,-27.46568554601706,,0
0ydy4q2q,18.010359670390468,,7.285976079305016,28.58803110811093,0.9259121395768941,13.8453127806815,0.5527836474818433,38963,31,2,0,16.71137281991848,64.46158905449532,0.0,-2.6017706613909195,1.515837567423758,0.02438666117990558,0.7220612484136868,-0.18143790061688975,-2081.846050264498,13.746713701451872,-2.1106868245254704,-0.18919811167310618,-2.350548900689997,,1
wck4g62v,,,6.777047061938514,22.463906585944873,0.6415642914380179,3.3980118138215762,0.8035064259606943,434,128,7,0,5.118137905760587,47.17507214908239,1.0,-7.349204559260944,0.8255012016616364,-0.056816573522897006,-0.48504477699423965,-0.8337795823654361,2164.4752668671726,-0.9075200715892975,-6.0,-0.1723878178993376,-5.08975328869385,0.0,0
4t3b0mt6,,0.0,36.69081588241053,27.509923129886836,0.6559761477951902,0.2598275113118955,0.23073865446785286,2891,3,9,0,19.322505691929717,52.86036016776386,,5.0873920994498345,0.4625471528553756,0.03477743846874906,-0.03527434653387045,0.07047816061041404,-1664.7861610185732,7.69053303786694,-1.092872413301708,0.1516039393054098,74.6847494650405,,0
0xc1no3s,29.539154272449256,0.0,1.962160449653104,28.05373853422798,0.6978254114116259,1.2472641986657425,0.3063182931710627,11171,112,4,0,32.24393251895078,28.512268077101496,,0.7708968469724782,0.3838882990133202,-0.01736833208364009,-0.9649589303092988,-0.4488561843946433,-1788.2073328854267,44.31847964226698,12.365816559617722,0.06029060777476291,75.42846373627431,,0
3j9wqdhz,,0.0,11.587289080492727,22.38898069300551,0.6553134254829038,0.9884187121613328,0.5264980623711805,30383,90,11,0,3.964812690593023,44.30331060268175,0.0,3.53200422762834,0.26486817439020166,-0.0776005194838386,1.399803303293835,-0.1618291271956853,1593.7521912344569,6.3304750048753995,-6.0,-0.13438903477736247,-44.19641133631297,0.0,0
mzgv8bzq,,,31.3011506221428,28.170195215635797,0.5801812711129907,0.5058409318530909,1.22236348407432,2841,155,2,0,7.017034732079419,39.75740724299165,0.0,8.165233295424311,,-0.05723627200072484,0.6784748926258749,0.8775794244007675,1917.600660338033,1.60072657679141,7.9098981597967795,-0.5488041349409974,12.527646552128507,0.0,0
sslgen2u,11.299817977359037,0.0,14.78599709955702,24.714769544457038,1.0,1.3228030701173168,0.43773449329484154,8685,54,7,0,44.50860574163284,27.531022041014488,,-7.704334346227524,0.0987852222961913,-0.07760489422020979,0.46647240777313226,-0.28116561559221276,1610.7556326555277,-24.293828925087112,-6.0,0.7145793893767736,24.158280262371818,0.0,0
7gphjvq3,,0.0,34.74522470507867,23.784428595620422,0.6901337388857621,1.739143253563622,0.20480184482468303,1614,77,1,0,27.798538765789065,53.52288394811288,,3.436069040502926,0.47326611137866315,,-0.2253351960155119,-0.6543805006206032,1338.5143508742044,22.540119566258088,27.840116449195644,0.20260193247170716,-42.45649099557939,0.0,1
sfvv01nc,21.053653441068526,1.0,6.420159548553679,15.801470869533942,0.4459511224558892,4.313696817505492,0.24401919855643758,13354,34,9,1,5.40700313178437,56.68644582735864,,1.0005052893759698,-0.302334635061133,-0.010115689682148661,0.5077596695102397,-0.6261013873816847,748.3951132530661,-32.10992685991506,0.3022009828994605,0.18155898253311484,-40.38173922930402,0.0,0
weywd54y,,1.0,2.6230715738293138,26.38363249471567,0.3773890235668369,1.420143400618629,0.5133937433041292,7681,89,5,0,1.7080101417518387,47.331706390661616,0.0,-3.413369302091025,0.2928840944459289,0.011227156570711036,-0.7224172987575207,0.6319335333999289,-19.93419510924889,20.929822854113006,-5.247795514006335,-0.044515829335205634,-7.615813638944255,0.0,0
2mwm43qq,26.0178832665901,,8.667618152339834,24.55654510821148,,2.768545107822986,0.14328429078617239,4821,179,1,0,3.882588224736303,78.57925448623007,0.0,8.624101070478147,0.7095012968822993,0.04018383935960495,-0.24094023918318228,0.4523037532131954,3362.8266181478743,-11.4783320953753,1.7851970463631122,0.09253618966742613,-55.41201870599738,,0
j3xl82nd,25.91762291435154,,4.707351694098573,21.834932438500836,0.0,1.8942140606972906,0.6319292570807399,761,86,2,0,6.240967225344585,50.58470049157587,0.0,0.6450403260185367,0.10771873586928292,-0.017517976725595633,0.9909487791337902,0.2525177956060566,2272.9431277390267,-12.042930429490276,-1.9136615013594576,-0.6099929696379238,22.649004522744878,0.0,0
zgjs3s80,,1.0,0.09740222058188017,,0.8209854219777738,10.354323818343243,0.5106909928134613,12799,269,8,0,6.902633996918909,53.71807306204144,0.0,-3.5678400469934117,1.2961391975397283,0.0001556526267425809,0.42436217769999934,-0.060530488685359096,-1758.491890507108,5.168078685689096,-6.0,-0.34298700542833405,-5.150653466315692,0.0,0
6omty3kj,,1.0,15.396304968333187,25.54866061421012,1.0,14.73707522864376,0.15655574924759225,8493,3,9,1,73.257173334809,33.492365147396946,0.0,9.76886913525156,0.7830206403837578,0.07912572438372908,-0.381539616457126,0.06944936617434058,313.83729871825983,-22.56105759507702,-6.0,-0.40377298642646325,-6.802545585110994,,0
9urd8c3e,32.25963240855643,0.0,12.520603104623921,,1.0,1.3302953969993543,0.019946193890028524,19161,43,3,0,15.836922235216466,37.21962068671653,,0.7230018459502228,-1.0764180558542442,0.033784785869759824,0.09236809893270535,-0.34633328067278646,-3707.022335789752,10.204460820084385,4.694328457639925,-0.03900543943681798,-55.38952262871023,0.0,0
2i61moka,14.115631922089674,1.0,6.9327106642292575,20.23951405575376,0.5606011101555145,3.8130918980939823,0.6180186224614805,390,221,5,0,9.912753784381888,30.860603603447515,0.0,17.578271501250853,0.11063004678499667,0.006158383674935564,0.4268109346852557,0.0217100919610679,-800.7505225840482,-5.173343691652217,16.605704348890782,-0.01873134868513874,59.80002612550248,0.0,1
mglc8obd,,1.0,7.217168175417233,,1.0,0.06752873903347278,0.3218969861896843,6095,63,3,0,14.964192622128582,19.912460047303377,1.0,6.601251632178612,0.9303386181725434,-0.048701813662432376,0.7095459727043845,0.10730570346026876,1222.6719646574554,-7.286322882716787,-1.395057400513744,-0.06058836437748181,-18.250626320038204,0.0,0
rwcfnqm2,26.575739486145668,1.0,11.906833854457064,26.06731830047337,0.1196025821379737,0.47163561083059485,0.26237555038782195,4859,145,9,0,13.582218770188565,62.694654519286175,,-1.9640479515319074,1.7981042326745877,,0.1252551747954596,0.19082657167152645,-1358.1219103613723,-23.27715118738496,-6.0,-0.17395389236998077,22.064046083291398,0.0,0
